G	99.944	22	NA	11	1274.53	12.6088	Y
G	100.0	24	NA	11	1369	14.959	H
G	99.944	24	NA	11	2754	14.959	H
G	2.5	26	AL	13	1129.67	717000	Y
G	99.76	26	AL	13	1808.65	717000	Y
G	66.0	28	MG	12	30.64	20.91	H
G	36.6	28	MG	12	400.69	20.91	H
G	38.3	28	MG	12	941.45	20.91	H
G	52.6	28	MG	12	1342.25	20.91	H
G	4.7	28	MG	12	1372.89	20.91	H
G	4.2	28	MG	12	1589.36	20.91	H
G	100.0	28	AL	13	1778.85	2.2414	M
G	40.5	34	CL	17	146.4	32	M
G	14.09	34	CL	17	1177	32	M
G	42.8	34	CL	17	2127	32	M
G	12.29	34	CL	17	3304	32	M
G	31.9	38	CL	17	1643	37.24	M
G	42.4	38	CL	17	2167	37.24	M
G	99.858	38	K	19	2167	7.636	M
G	46.3	39	CL	17	250.3	55.6	M
G	2.09	39	CL	17	985.9	55.6	M
G	2.42	39	CL	17	1091	55.6	M
G	53.6	39	CL	17	1267	55.6	M
G	39.2	39	CL	17	1518	55.6	M
G	10.67	40	K	19	1461	1,28E+09	Y
G	99.1	41	AR	18	1294	109.34	M
G-X-KA1	12.35	41	CA	20	3.3138	103000	Y
G	18.08	42	K	19	1525	12.36	H
G	4.8	43	K	19	220.6	22.3	H
G	86.8	43	K	19	372.8	22.3	H
G	11.85	43	K	19	396.9	22.3	H
G	11.26	43	K	19	593.4	22.3	H
G	79.2	43	K	19	617.5	22.3	H
G	1.96	43	K	19	1022	22.3	H
G-X-KA1	1.034	43	SC	21	3.69168	3.891	H
G	22.5	43	SC	21	372.8	3.891	H
G	2.3	44	K	19	368.2	22.13	M
G	3.0	44	K	19	651.3	22.13	M
G	3.8	44	K	19	726.5	22.13	M
G	2.1	44	K	19	747.6	22.13	M
G	1.7	44	K	19	876.5	22.13	M
G	6.7	44	K	19	1025	22.13	M
G	7.6	44	K	19	1126	22.13	M
G	58.0	44	K	19	1157	22.13	M
G	7.8	44	K	19	1499	22.13	M
G	4.1	44	K	19	1753	22.13	M
G	2.1	44	K	19	1778	22.13	M
G	23.0	44	K	19	2151	22.13	M
G	9.7	44	K	19	2519	22.13	M
